Temat,Lokalizacja,Data rozpoczêcia,Czas rozpoczêcia,Data zakoñczenia,Czas zakoñczenia,Przypomnienie w³./wy³.,Data przypomnienia,Czas przypomnienia
Inauguracja (SO) [1],316 S,2017-02-24,11:40,2017-02-24,13:15,Fa³sz,2017-02-24,11:40
Bezpieczeñstwo i higiena pracy (w) [1],316 S,2017-02-24,13:30,2017-02-24,15:05,Fa³sz,2017-02-24,13:30
Metody i techniki symulacji komputerowej (w) [1],314 S,2017-02-27,08:00,2017-02-27,09:35,Fa³sz,2017-02-27,08:00
Metody i zadania rozpoznawania wzorców (w) [1],101 65,2017-02-28,08:00,2017-02-28,09:35,Fa³sz,2017-02-28,08:00
Metody i zadania rozpoznawania wzorców (w) [2],101 65,2017-02-28,09:50,2017-02-28,11:25,Fa³sz,2017-02-28,09:50
Modelowanie systemów teleinformatycznych (w) [1],101 65,2017-02-28,11:40,2017-02-28,13:15,Fa³sz,2017-02-28,11:40
Systemy baz danych (w) [1],314 S,2017-03-02,08:00,2017-03-02,09:35,Fa³sz,2017-03-02,08:00
Ergonomia systemów interaktywnych (w) [1],223 65,2017-03-02,09:50,2017-03-02,11:25,Fa³sz,2017-03-02,09:50
Trends in Computer Technology (w) [1],106 65,2017-03-02,11:40,2017-03-02,13:15,Fa³sz,2017-03-02,11:40
Trends in Computer Technology (w) [2],121 65,2017-03-03,11:40,2017-03-03,13:15,Fa³sz,2017-03-03,11:40
Nowoczesne metody i techniki zarz¹dzania (w) [1],314 S,2017-03-06,08:00,2017-03-06,09:35,Fa³sz,2017-03-06,08:00
Metody i zadania rozpoznawania wzorców (w) [3],101 65,2017-03-07,08:00,2017-03-07,09:35,Fa³sz,2017-03-07,08:00
Metody i zadania rozpoznawania wzorców (w) [4],101 65,2017-03-07,09:50,2017-03-07,11:25,Fa³sz,2017-03-07,09:50
Systemy rozproszone (w) [1],125 65,2017-03-07,11:40,2017-03-07,13:15,Fa³sz,2017-03-07,11:40
Systemy baz danych (w) [2],314 S,2017-03-09,08:00,2017-03-09,09:35,Fa³sz,2017-03-09,08:00
Ergonomia systemów interaktywnych (w) [2],101 65,2017-03-09,09:50,2017-03-09,11:25,Fa³sz,2017-03-09,09:50
Trends in Computer Technology (w) [3],101 65,2017-03-09,11:40,2017-03-09,13:15,Fa³sz,2017-03-09,11:40
Procesy stochastyczne (w) [1],314 S,2017-03-09,13:30,2017-03-09,15:05,Fa³sz,2017-03-09,13:30
Trends in Computer Technology (w) [4],101 65,2017-03-10,11:40,2017-03-10,13:15,Fa³sz,2017-03-10,11:40
Metody i techniki symulacji komputerowej (w) [2],314 S,2017-03-13,08:00,2017-03-13,09:35,Fa³sz,2017-03-13,08:00
Diagnostyka i wiarygodnoœæ SK (w) [1],314 S,2017-03-13,15:45,2017-03-13,17:20,Fa³sz,2017-03-13,15:45
Metody i zadania rozpoznawania wzorców (w) [5],101 65,2017-03-14,08:00,2017-03-14,09:35,Fa³sz,2017-03-14,08:00
Metody i zadania rozpoznawania wzorców (w) [6],101 65,2017-03-14,09:50,2017-03-14,11:25,Fa³sz,2017-03-14,09:50
